Date,Country,City
2024-12-17 20:45:11,United States,Country Club
2023-09-19 13:04:19,Italy,Gragnano
2018-11-14 03:07:00,United Kingdom,Ramsgate
2019-09-23 22:05:22,India,Thoubāl
2025-09-26 01:20:54,Brazil,Videira
2018-08-20 18:26:00,India,Bantvāl
2022-10-28 18:40:50,Japan,Kitaibaraki
2024-06-24 08:23:52,India,Bodināyakkanūr
2019-09-27 06:23:28,Italy,Nerviano
2020-07-03 05:33:38,India,Burhānpur
2021-01-20 05:12:24,India,Kūdligi
2020-02-18 13:08:41,India,Phaltan
2018-08-24 22:49:35,Germany,Alt-Hohenschönhausen
2017-10-23 07:24:52,Brazil,Bom Jesus da Lapa
2021-01-01 02:01:57,Brazil,Garrafão do Norte
2020-03-10 21:18:28,India,Yanamalakuduru
2016-12-15 20:24:12,France,Orsay
2022-03-24 16:24:35,Brazil,Craíbas
2023-05-16 16:52:52,India,Khātra
2021-07-02 01:06:27,United States,Anaheim
2023-09-02 16:13:38,Germany,Eschweiler
2023-08-05 02:18:58,Brazil,Livramento de Nossa Senhora
2018-02-06 16:41:07,India,Bāpatla
2016-12-16 10:49:02,Canada,Henry Farm
2021-07-30 12:31:12,United States,Chatsworth
2020-03-21 03:13:11,United Kingdom,Primrose Place
2022-07-06 13:13:46,India,Roorkee
2019-09-14 07:57:28,Brazil,Nova Mutum
2025-08-31 05:22:30,India,Garhchiroli
2017-11-27 21:34:38,Brazil,Cajazeiras
2025-05-22 21:05:53,France,Dammarie-les-Lys
2019-03-15 02:14:01,Germany,Datteln
2019-06-02 11:37:16,France,Wasquehal
2021-12-15 23:48:52,India,Karauli
2020-01-09 09:05:19,United States,Bartow
2020-04-06 01:47:57,India,Malkāpur
2024-01-29 02:13:08,India,Bhīnmāl
2018-04-02 21:32:50,United Kingdom,Kidderminster
2016-07-27 02:20:11,Japan,Sendai
2019-06-02 15:00:22,United States,University of Texas
2022-03-07 23:55:20,Germany,Rahden
2022-07-13 21:20:16,Brazil,Saquarema
2018-02-04 19:44:20,Spain,Cangas do Morrazo
2016-06-17 03:51:04,United States,Huntersville
2021-11-21 13:31:02,India,Pachgaon
2018-01-30 02:59:20,India,Palugal
2020-10-05 11:06:54,Japan,Umeki
2018-10-30 19:33:06,Brazil,Conceição da Feira
2024-12-27 08:57:21,United States,Freeport
2022-12-22 03:01:13,Brazil,Imbituba
2019-09-23 10:19:09,United States,El Reno
2018-04-15 18:53:47,Mexico,Ciudad de Huitzuco
2015-11-13 00:59:51,United States,Joint Base Pearl Harbor Hickam
2020-02-06 07:23:37,India,Ghātampur
2021-10-02 18:12:14,Canada,Duncan
2016-04-30 12:18:30,United States,Beverly
2017-12-04 14:13:43,United States,Truckee
2022-03-26 17:33:50,Japan,Kamigōri
2016-08-18 10:27:45,Brazil,Alagoa Grande
2018-05-30 21:11:56,United States,Helena
2018-12-09 13:03:05,Japan,Oga
2015-11-04 09:17:20,Brazil,Santa Luzia do Paruá
2023-12-30 09:21:12,India,Tādepalle
2021-07-01 19:35:35,Italy,Isernia
2016-12-10 15:24:54,Germany,Lage
2017-03-13 00:26:33,India,Korba
2025-04-29 07:40:17,India,Coimbatore
2019-07-09 01:49:49,Italy,Florence
2020-11-05 07:47:30,Canada,Mont-Royal
2020-06-09 02:46:33,Italy,Campi Bisenzio
2016-08-31 21:53:40,Brazil,Indaial
2022-03-23 21:31:02,Italy,Piossasco
2015-11-24 07:41:12,Germany,Schwetzingen
2020-06-29 20:55:59,France,Mérignac
2023-11-28 03:29:10,Germany,Eilenburg
2018-06-15 05:47:21,Brazil,Campos Belos
2024-07-28 08:08:17,India,Gūduvāncheri
2024-07-06 10:36:04,India,Rājgurunagar
2020-10-28 00:44:15,India,Kāndhla
2017-11-02 03:24:53,United States,Burlington
2946.67,2018-07-06 18:06:23,United States,South Juan
2016-05-22 10:30:19,Brazil,Lima Duarte
2016-02-26 00:48:50,Brazil,Ilha Solteira
2015-11-26 11:44:20,Brazil,Sertânia
2020-12-29 11:41:35,Germany,Karben
2024-05-20 19:46:21,India,Madhapar
2019-05-02 21:23:11,United Kingdom,Streatham
2023-06-17 00:16:48,India,Patuvilāyi
2017-09-22 03:10:25,Spain,Aluche
2017-03-08 00:38:22,India,Kakkanad
2020-11-03 04:44:39,Brazil,Rio das Ostras
2017-10-18 05:51:51,United Kingdom,Swanscombe
2022-07-01 02:31:47,India,Chūru
2022-12-08 21:11:44,Germany,Falkensee
2020-04-16 14:14:49,Germany,Bad Bentheim
2023-11-07 16:55:52,Spain,Utebo
2017-03-29 05:43:21,India,Nandurbar
2024-06-16 03:24:40,India,Kaimori
2022-12-30 10:23:43,Germany,Albstadt
2022-04-25 21:44:34,Brazil,Óbidos
2018-07-30 01:03:17,Brazil,Conceição do Mato Dentro
2019-01-25 08:26:30,United States,Clay
2022-07-24 19:08:47,India,Alwar
2017-01-11 10:55:39,United Kingdom,Pudsey
2018-08-05 03:39:28,India,Gandhinagar
2018-03-07 09:10:49,India,Lateri
2018-02-25 01:29:02,United States,Dyker Heights
2017-03-11 08:49:29,Mexico,Paraiso
2019-05-09 06:55:35,Brazil,Curralinho
2021-07-31 15:50:31,United States,Atascadero
2023-08-26 04:40:00,United States,West Hollywood
2021-07-08 08:52:07,India,Nohar
2022-08-17 10:42:44,United States,Allston
2017-09-15 09:30:09,Spain,Tres Cantos
2021-11-23 19:35:22,Brazil,Patrocínio
2017-01-30 17:59:00,India,Mubarakpur
2017-05-27 15:04:21,Spain,San Roque
2018-02-13 21:43:39,Italy,Forio
2019-09-07 04:55:56,Japan,Nakamura
2018-06-22 13:17:09,India,Edappāl
2020-07-31 16:44:36,Germany,Drensteinfurt
2019-09-22 08:47:05,United States,Arden-Arcade
2016-06-17 12:13:18,Spain,Requena
2024-10-05 21:49:42,Spain,La Algaba
2023-05-01 06:57:21,Germany,Hausbruch
2015-11-01 21:29:01,United States,West Bend
2024-01-10 22:18:57,United States,Glendale
2021-05-11 06:34:28,Japan,Hitachi
2016-05-10 03:58:01,Germany,Halver
2022-02-04 06:32:56,India,Tindivanam
2020-03-26 04:48:03,Italy,Melzo
2017-02-01 05:39:05,Germany,Worms
2025-03-18 14:09:19,United States,Hawthorne
2016-03-13 00:46:21,Spain,Vilaseca
2023-04-13 11:34:13,India,Hisar
2025-07-07 01:28:00,United States,Middletown
2020-03-22 22:04:53,Japan,Kizugawa
2017-02-07 10:01:34,India,Palappallam
2018-06-19 21:45:06,Canada,LaSalle
2022-03-18 01:44:12,United States,Muskegon
2016-04-14 08:49:49,France,Le Havre
2021-02-08 20:48:29,Brazil,Catalão
2023-11-25 23:58:49,Brazil,Açu
2023-05-18 10:27:03,India,Kūdlu
2024-10-12 17:06:11,Japan,Katsuyama
2023-04-03 12:06:46,Japan,Gotō
2025-04-27 13:32:18,Japan,Yaita
2020-06-28 04:53:48,India,Arukutti
2016-02-16 12:32:43,Japan,Kamo
2024-06-09 20:29:33,India,Kottārakara
2022-10-31 21:56:24,India,Dharampuri
2016-07-06 23:54:15,India,Lālru
2025-02-07 08:53:39,United Kingdom,Saint Peters
2018-03-28 09:17:35,United States,Highland
2025-01-31 01:44:14,United States,West Lawn
2019-07-01 16:29:30,Brazil,Pio XII
2022-09-18 21:39:11,Brazil,Salesópolis
2018-09-08 02:02:56,Japan,Mutsu
2018-01-16 22:48:15,India,Mangalvedha
2016-03-08 10:13:41,Mexico,Arriaga
2016-12-30 13:34:20,United States,Brighton
2020-06-01 05:04:20,India,Vite
2022-10-10 18:53:03,India,Ner
2023-04-16 08:33:21,India,Edappāl
2022-02-12 23:43:16,Brazil,São João do Rio do Peixe
2018-06-14 02:43:04,Germany,Bad Pyrmont
2019-05-18 21:25:03,United States,Lodi
2019-11-12 21:33:14,India,Salem
2023-04-05 07:50:28,India,Vijayapuri North
2019-05-08 16:01:05,Brazil,Soure
2018-07-01 03:07:38,Spain,Santomera
2024-10-08 07:40:57,Brazil,Castro Alves
2019-11-22 20:56:54,United States,Madison
2025-02-09 16:11:38,India,Kadamakudi
2024-01-24 15:16:57,India,Keezhkulam
2018-09-08 15:33:46,India,Jhinjhāna
2019-08-17 00:28:36,Japan,Yuzawa
2025-05-26 19:57:02,India,Ajnāla
2016-02-19 14:30:27,United States,West Memphis
2024-01-29 02:03:34,Germany,Ennigerloh
2020-09-18 22:05:14,Mexico,Castaños
2023-08-10 02:21:07,Canada,Ile-des-Soeurs
2021-12-30 07:03:43,Germany,Naumburg
2017-03-13 14:01:29,United States,Alvin
2017-08-23 09:13:37,India,Edacchēri
2018-05-30 13:36:06,United States,North Amityville
2016-09-17 20:26:29,Germany,Wiehl
2021-12-24 16:25:48,Spain,el Poblenou
2019-04-04 07:26:29,Italy,San Felice A Cancello
2024-11-07 13:13:28,United Kingdom,Gelligaer
2019-06-02 01:40:33,United States,Pittsburg
2023-09-28 11:10:08,Spain,Mollet del Vallès
2024-07-18 22:36:32,Italy,Spinea-Orgnano
2018-02-08 20:11:52,United States,Chino Hills
2023-11-24 22:57:14,India,Bhuwāna
2025-05-12 16:32:29,Brazil,Miranda do Norte
2016-09-03 07:15:13,Mexico,Tlaquiltenango
2021-09-20 19:01:27,France,Paris 11e Arrondissement
2024-05-21 13:28:55,United Kingdom,Stirling
2019-05-12 08:13:09,Brazil,Curralinho
2016-08-01 07:03:47,United Kingdom,Bognor Regis
2023-08-06 09:22:04,Australia,Coffs Harbour
2021-09-17 07:31:47,Brazil,Mooca
2024-02-05 08:40:56,United States,Mission Bend
2019-11-07 05:54:01,Brazil,Aroeiras
2023-05-01 02:58:42,Brazil,Carnaubal
2019-02-06 09:17:58,India,Noāmundi
2016-12-30 12:59:12,Brazil,Joinville
2019-06-08 14:52:20,Mexico,León de los Aldama
2016-11-09 21:29:02,France,Le Havre
2019-09-06 06:13:54,India,Ramanathapuram
2021-02-25 14:57:51,France,Allauch
2017-12-31 23:48:58,United States,La Grange
2020-01-12 22:39:56,United Kingdom,Bridgwater
2016-08-29 01:16:59,India,Srīvardhan
2022-12-26 18:01:46,Brazil,Salitre
2020-11-25 16:25:41,Brazil,Panambi
2025-07-28 02:17:28,Australia,Glen Waverley
2024-03-10 00:16:18,United Kingdom,Dunfermline
56.43,2048-09-04 09:04:30,United States,Avon
2018-06-26 22:12:32,Brazil,São Francisco do Sul
2018-07-01 21:50:42,France,La Courneuve
2022-10-29 10:35:18,India,Malegaon
2022-04-14 14:44:23,Brazil,Mari
2024-12-01 06:38:19,United Kingdom,Newton Aycliffe
2020-07-05 14:29:37,United States,Novi
2019-08-12 21:35:48,Spain,Albolote
2024-11-01 21:31:57,France,Orsay
2023-11-12 20:29:46,Brazil,Borba
2025-01-10 22:26:18,France,Domont
2018-12-12 08:51:34,United States,Lebanon
2018-03-09 11:49:14,United States,Sylvania
2017-08-15 08:33:56,Japan,Namioka
2018-11-18 09:54:55,Canada,Humbermede
2017-02-02 21:46:23,Spain,la Barceloneta
2016-03-12 15:51:04,Japan,Minase
2025-06-26 07:34:52,United States,Corvallis
2017-03-04 03:05:32,Germany,Kürten
2020-09-07 07:56:10,United States,Santa Ana
2024-02-06 06:56:08,India,Budhāna
2017-03-29 22:52:13,India,Vikārābād
2020-02-24 17:55:16,Mexico,Guadalupe
2024-12-07 14:12:00,India,Ālangulam
2019-01-23 08:21:02,Brazil,Santa Gertrudes
2019-10-29 05:20:32,India,Mharal Bk
2023-12-11 20:46:33,Brazil,Quirinópolis
2025-04-09 18:29:15,Germany,Steglitz
2025-01-27 14:32:58,United States,Brushy Creek
2015-11-03 21:51:58,India,Tirkadavūr
2018-07-05 14:15:32,United States,Rancho Penasquitos
2016-05-23 15:39:15,Australia,Australind
2023-05-17 15:15:39,India,Surajpur
2025-06-19 19:42:45,India,Avalēpalli
2024-01-20 09:04:41,India,Suriāpet
2021-09-27 22:11:02,India,Tālcher
2018-09-22 20:48:30,Brazil,Nova Prata
2021-04-30 15:35:36,United States,Hobbs
2022-10-26 08:18:35,India,Hupari
2023-02-09 05:16:24,Germany,Friedrichshagen
2016-10-26 14:22:52,Spain,Santutxu
2024-08-24 13:38:47,Brazil,Rio Branco do Sul
2021-01-25 05:39:03,India,Hamīrpur
2016-02-12 22:11:53,United Kingdom,Chester-le-Street
2024-08-20 07:39:42,Spain,Icod de los Vinos
2023-11-28 22:30:05,Germany,Schwedt (Oder)
2018-10-14 16:09:28,United States,Angleton
2021-05-18 19:52:20,India,Sūryampālaiyam
2025-07-05 15:53:40,United States,Athens
2019-10-22 01:42:49,India,Dongargarh
2024-02-01 12:00:06,Japan,Tōgane
2023-12-28 06:17:06,United Kingdom,Longfield
2025-02-06 23:36:47,France,Illzach
2017-03-23 05:57:05,Brazil,Cabo de Santo Agostinho
2018-01-14 10:20:52,United States,Marion
2018-10-21 08:39:12,India,Jahāzpur
2019-03-13 12:27:01,India,Vandavāsi
2015-11-28 06:22:33,India,Rewa
2018-10-08 05:02:51,France,Fontaine
2025-05-28 09:26:28,United States,Watauga
2025-04-30 02:29:30,Japan,Kaitaichi
2018-03-06 14:19:32,India,Tiruvallur
2015-11-18 00:43:33,United Kingdom,Chelmsford
2018-08-27 12:21:46,France,Le Kremlin-Bicêtre
2024-09-28 13:02:20,Japan,Kurashiki
2023-11-22 08:01:24,United States,Perry
2023-11-05 05:18:42,Japan,Ayase
2023-12-04 15:06:55,United States,Shafter
2019-10-17 00:14:39,Mexico,Villa Independencia
2017-03-12 02:37:52,Spain,Vinaròs
2017-06-13 01:02:05,United Kingdom,Shadwell
2022-10-27 12:22:46,Germany,Wesel
2017-03-03 08:13:24,United Kingdom,Romford
2024-06-06 22:19:03,United States,Lincoln
2018-05-26 21:26:39,France,Laxou
2019-09-18 09:41:46,Brazil,Terra Preta
2023-07-11 21:02:14,United States,Wissinoming
2019-03-24 21:25:07,India,Arakkonam
2022-03-19 12:57:37,Japan,Tokai
2024-09-03 16:27:10,United States,Lauderhill
2016-04-07 01:11:42,Spain,San Isidro
2018-12-02 01:37:20,Australia,Darwin
2016-09-05 10:26:51,United States,Lynnwood
2006.83,2023-04-19 13:47:45,Portugal,Ludhiana
2025-04-24 21:01:41,Spain,Iturrama
2024-02-13 05:58:28,Brazil,São Fidélis
2022-01-09 03:07:25,United States,Annandale
2020-12-12 20:16:44,India,Āsansol
2018-12-05 10:01:43,India,Pariyāram
2025-08-29 12:15:58,Australia,Goulburn
2016-12-05 02:30:54,United States,SeaTac
2022-02-23 07:30:46,France,Nancy
2021-03-30 13:36:29,India,Gajwel
2022-09-03 02:11:39,Italy,Viadana
2019-10-31 17:54:32,Italy,Lucera
2019-11-04 00:09:44,India,Kāraikkudi
2016-02-07 18:49:16,Brazil,Americana
910.02,2024-08-17 01:52:32,Martinique,Saugus
2017-01-24 05:03:05,Italy,Pontedera
2023-12-29 19:23:35,France,Rueil-Malmaison
2024-08-29 04:59:03,France,Mons-en-Barœul
2019-03-30 00:54:52,Brazil,Ibiapina
2020-08-24 08:56:56,Brazil,Cajati
2016-07-28 01:07:22,Spain,Tortosa
2023-11-12 05:34:40,India,Dākor
2016-04-12 21:17:11,Italy,Faenza
2025-10-03 01:08:53,Italy,Garbagnate Milanese
2019-09-07 07:33:09,India,Kalyani
2025-08-14 05:09:53,Germany,Freiberg am Neckar
2023-07-02 15:01:57,India,Mattigiri
2019-10-01 01:20:40,India,Loha
2021-11-28 09:57:09,India,Hinjilicut
2022-06-09 14:00:41,United Kingdom,Upper Norwood
2019-12-20 14:42:00,Germany,Boppard
2017-01-09 11:16:05,United States,Pittsburg
2022-06-21 16:31:38,Japan,Tosa
2024-08-31 19:35:24,Germany,Neumarkt in der Oberpfalz
2017-03-31 01:39:19,India,Tirupati
2017-06-30 19:47:40,Spain,Tetuán de las Victorias
2018-09-02 13:56:22,Japan,Nakagusuku
2022-01-16 13:03:07,United States,Kenosha
2017-05-18 00:37:05,Mexico,Heroica Matamoros
2019-02-06 11:45:05,United States,Rotterdam
2018-04-06 18:02:58,United States,West Lake Sammamish
2019-12-27 20:17:09,Mexico,Nicolás Romero
2024-05-17 17:46:49,Brazil,Raposos
2021-07-19 08:11:39,India,Sitārganj
2020-10-21 09:55:44,Germany,Brilon
2016-06-24 05:43:44,Italy,Mira Taglio
2024-02-14 08:30:48,Japan,Ikebukuro
2022-09-14 01:42:28,Brazil,Piranga
2025-08-08 09:06:51,Canada,Québec
2024-05-13 02:03:42,India,Beohāri
2020-04-14 15:00:44,India,Bakarwāla
2020-03-01 14:52:04,Australia,Ellenbrook
2023-11-20 21:33:04,Japan,Tonami
2022-08-14 12:58:44,Brazil,Mucuri
2021-12-15 08:14:54,Brazil,Sarandi
2022-03-20 05:15:16,France,Forbach
2023-07-28 06:28:03,India,Srirāmpur
2019-01-09 22:33:07,India,Kizhake Chālakudi
2019-02-16 07:43:41,Brazil,Caiapônia
2015-10-21 11:26:09,Spain,Alcobendas
2017-04-26 04:11:39,Brazil,Balneário Piçarras
2019-08-09 07:17:53,India,Rameswaram
2049.82,2055-02-01 16:46:07,Germany,Mülheim
2025-05-05 13:24:48,Australia,Helensvale
2024-09-05 19:05:04,United States,Rancho Cordova
2020-04-15 17:12:21,Japan,Shimada
2019-01-27 22:00:33,United States,Middletown
2016-08-13 06:48:36,Spain,Buenavista
2017-03-29 20:40:15,Japan,Saiki
2020-04-23 01:30:09,India,Gursahāiganj
2023-07-25 14:35:39,Germany,Ottweiler
2017-03-26 08:09:16,Brazil,Votorantim
2018-12-26 13:43:16,India,Yanamalakuduru
2021-05-22 00:06:32,Germany,Bad Münstereifel
2021-10-24 14:08:26,Spain,Sant Celoni
2020-06-24 22:29:50,India,Takhatpur
2025-09-18 11:35:38,Brazil,Planaltina
2020-09-27 03:07:03,India,Itārsi
2016-05-31 02:15:38,India,Rameswaram
2024-03-05 01:20:19,United States,Royal Palm Beach
2020-10-20 22:28:18,United States,Mundelein
2020-08-09 20:12:26,India,Teni
2015-11-04 06:44:18,United States,Hurst
2020-09-21 12:25:18,Germany,Niederkassel
2022-08-08 14:46:48,India,Sirka
2023-08-15 09:04:02,Italy,Castrovillari
2018-05-28 02:34:11,Germany,Altdorf bei Nürnberg
2016-12-04 21:28:48,United States,Fairfield
2025-03-06 05:15:49,Germany,Fürstenwalde
2020-04-12 05:36:32,France,Vesoul
2020-04-26 09:41:12,India,Kichha
2020-01-21 20:59:45,United States,Plant City
2016-03-11 11:39:31,India,Banūr
2022-03-28 12:35:01,Brazil,Marituba
2021-04-07 04:11:29,United Kingdom,Huddersfield
2018-06-03 09:43:43,Australia,St Clair
2023-09-17 23:08:18,Brazil,Conceição do Jacuípe
2025-05-04 07:38:45,Spain,Puçol
2024-07-24 11:24:10,United States,De Pere
2022-09-01 10:16:57,Japan,Azumino
2023-04-29 06:54:03,India,Sheikhpura
2018-08-18 05:53:07,India,Burāri
2023-11-19 15:59:31,Germany,Bad Säckingen
2019-02-15 08:00:37,Brazil,Vila Guilherme
2015-11-26 17:26:38,United States,Lake Magdalene
2019-10-02 13:10:18,India,Kosi
2016-08-13 01:55:59,India,Kukatpally
2017-03-28 11:39:12,France,Verneuil-sur-Seine
2025-08-02 11:11:02,France,Saint-Dié-des-Vosges
2020-12-17 23:38:08,United States,Forest Park
2015-11-07 19:35:58,Mexico,Melchor Ocampo
2019-12-04 21:47:46,India,Nayāgarh
2022-05-31 19:37:49,United Kingdom,Blackburn
2019-07-18 17:00:56,United States,Bostonia
2017-07-09 21:40:52,United States,Beverly
2019-06-25 13:40:33,United States,Greenwood
2023-10-28 06:49:23,Spain,Barcelona
2023-07-18 06:54:57,United States,Chula Vista
2017-05-23 19:24:56,France,Houilles
2018-10-02 03:20:38,India,Vyāra
2025-03-16 18:56:36,Brazil,Crato
2018-10-14 18:57:51,United Kingdom,Oadby
2022-02-20 07:22:27,Italy,Udine
2019-03-10 09:38:58,United States,Copiague
2017-02-06 14:28:31,United States,Cornelius
2023-09-13 01:54:48,India,Chittorgarh
2019-01-20 20:28:14,Brazil,Conceição de Macabu
2017-05-16 22:57:26,Germany,Wolfsburg
2022-05-31 11:10:49,India,Yamuna Nagar
2018-03-23 11:21:04,India,Kabilpor
2019-05-12 14:27:56,India,Shimla
2022-09-22 21:09:23,Spain,Butarque
2018-11-11 06:48:02,Canada,Henry Farm
2023-06-06 16:59:16,France,Montauban
2023-09-11 12:49:39,United Kingdom,Teignmouth
2022-02-21 21:39:44,Italy,Mazara del Vallo
2016-04-24 13:22:08,Japan,Hokota
2021-06-07 15:40:04,Brazil,Ervália
2023-02-13 02:57:00,Japan,Kisarazu
2023-09-24 02:54:16,United States,Jamestown
2020-03-19 02:11:05,Mexico,Peribán de Ramos
2025-04-09 03:20:33,India,Rahata
2023-08-01 00:17:14,United States,Talladega
2017-01-27 11:22:57,United States,Crown Point
2024-03-20 07:52:43,Japan,Kitsuki
2015-12-21 15:35:30,India,Sultānpur
2019-05-13 02:53:40,India,Dhanaula
1352.66,2016-03-23 01:28:40,Mexico,West Tinashire
2023-02-13 10:51:36,United Kingdom,Stamford Hill
2022-12-16 12:47:36,United Kingdom,Litherland
2021-05-23 12:51:34,France,Porte Saint-Denis
2019-08-29 03:58:23,Germany,Kiel
2020-08-07 21:56:35,United Kingdom,City of Westminster
2022-03-10 06:37:22,France,Melun
2023-01-06 02:25:49,United States,Wheeling
2021-01-10 03:06:58,India,Guskhara
2021-11-04 03:00:10,India,Ayyampettāi
2016-07-11 20:04:33,United States,Maple Heights
2025-09-17 16:37:25,India,Savarkundla
2020-10-27 11:31:22,India,Manjhanpur
2023-05-03 08:36:38,France,Blagnac
2020-04-08 12:26:40,United States,Five Corners
2018-05-11 04:19:47,India,Karera
2020-07-03 04:50:31,United States,Jacksonville Beach
2023-08-03 11:00:22,Brazil,Ferraz de Vasconcelos
2024-03-10 13:50:36,Australia,Yagoona
2023-07-29 06:37:53,India,Mīnād
2016-05-23 08:20:09,Japan,Takahagi
2016-02-01 16:04:25,United States,Rockford
2017-02-27 02:16:00,Canada,Surrey
2023-11-30 21:45:08,United States,West Warwick
2024-04-27 01:40:04,India,Shafi Pur Ranhola
2024-08-03 10:23:32,United States,West Raleigh
2016-07-13 02:58:53,United States,New Albany
2022-07-27 16:01:48,United States,Severna Park
2016-12-26 04:08:54,United States,Oak Park
2016-05-01 23:36:16,United States,Eagle
2017-06-05 09:50:38,Germany,Kaufbeuren
2021-08-26 17:40:46,United States,Oakville
2017-06-06 12:27:48,India,Morsi
2022-09-27 18:20:15,India,Anūpgarh
2018-01-12 01:10:15,France,Élancourt
2016-09-10 10:00:32,India,Kalghatgi
2024-05-05 22:08:49,India,Parappur
2016-10-07 22:54:33,Brazil,Macarani
2023-05-27 16:15:11,Brazil,Luzilândia
2022-12-22 14:06:57,Mexico,Mexicali
2020-07-21 00:24:55,Brazil,Três Lagoas
2022-01-07 05:36:39,Brazil,Sidrolândia
2016-12-16 23:11:42,United States,Gatesville
2020-11-10 01:58:55,United Kingdom,Telford
2021-08-14 01:11:48,Brazil,Lagoa Nova
2017-11-02 16:36:12,Germany,Cuxhaven
2023-08-25 15:26:18,Italy,San Miniato
2025-06-11 10:39:07,United States,Chesterfield
2017-09-03 08:42:05,France,Fresnes
2024-08-06 19:40:26,Italy,Tradate
2015-12-06 12:14:53,India,Ngūr
2021-02-04 16:15:54,India,Kannampālaiyam
2024-02-21 14:17:29,United States,South Yuba City
2017-12-16 17:35:25,Japan,Itō
2017-08-15 17:32:12,India,Nedumangād
2017-10-14 23:14:29,United Kingdom,Hanworth
2023-03-05 22:29:30,Japan,Tsugaru
2016-04-07 16:04:58,India,Narkatiāganj
2019-06-02 06:42:58,Japan,Ushibukamachi
2015-12-07 01:49:24,United States,Winter Garden
2024-11-15 09:34:02,Brazil,Jaicós
2021-01-30 21:53:35,United States,Ottawa
2025-08-03 12:35:51,Brazil,São Geraldo do Araguaia
2025-03-20 16:04:24,India,Vīrarāghavapuram
2016-08-09 22:02:54,United Kingdom,Longsight
2025-02-16 17:24:27,Brazil,Raul Soares
2025-05-28 13:40:11,India,Nangli
2022-02-21 01:49:29,India,Wanparti
2017-05-23 02:26:24,India,Mankāchar
2017-05-16 18:08:31,Japan,Nishifukuma
2020-07-04 23:45:41,Germany,Schwalmstadt
2018-02-13 16:22:13,United States,Palm Desert
2025-01-07 13:36:20,India,Rāmavarappādu
2017-03-19 23:10:47,Japan,Yokota
2022-09-14 20:39:36,United States,Fort Leonard Wood
2021-07-20 15:12:29,India,Uravakonda
2018-08-22 07:47:10,Spain,Portugalete
2021-07-26 09:57:46,Spain,San Blas-Canillejas
2023-09-21 14:17:06,United States,Jamaica Plain
2025-09-08 08:16:07,United States,North Lauderdale
2022-10-19 21:18:36,India,Tinnanūr
2016-04-09 13:37:49,Brazil,Nova Lima
2025-02-15 21:14:35,United States,Columbus
2018-07-31 07:45:33,United Kingdom,Kettering
2019-11-07 22:51:17,United Kingdom,Kidsgrove
2020-10-07 14:03:01,United States,Bloomington
2016-07-03 19:28:51,United States,Jollyville
2020-07-10 11:42:56,Spain,Fort Pienc
2023-02-12 21:17:48,United States,Iowa City
2017-01-24 02:41:08,Germany,Sangerhausen
2023-05-13 18:54:22,United States,Cedar Hill
2023-02-27 04:36:07,United Kingdom,Gorseinon
2023-01-19 05:40:31,Brazil,Japaratuba
2023-11-01 10:14:34,Italy,Follonica
2024-10-09 02:00:50,Brazil,Riachão do Dantas
2017-07-15 16:55:21,Brazil,Tabira
2024-01-28 21:56:36,India,Bhādra
2025-08-26 10:28:08,Brazil,Jequitinhonha
2020-02-18 14:59:58,India,Bhānpura
2022-11-24 15:40:25,Canada,Carey
2023-09-23 19:12:54,Germany,Dresden
2019-07-14 08:37:05,Brazil,Tucano
2020-12-20 03:27:15,Spain,l'Alfàs del Pi
2020-08-25 08:42:23,Italy,Bareggio
2021-07-19 10:33:07,France,Caluire-et-Cuire
2024-08-07 02:59:25,United Kingdom,Hove
2022-03-18 02:04:16,India,Dabra
2020-01-16 04:30:51,France,Cagnes-sur-Mer
2022-04-18 23:07:54,United States,West Town
2025-10-06 09:05:04,India,Milak
2016-04-11 19:33:23,United States,Winona
2018-02-17 12:12:07,France,Saint-Ouen
2024-05-03 12:05:35,Spain,Priego de Córdoba
2017-04-24 05:08:27,India,Jāmul
2022-09-14 03:06:09,Mexico,Ciudad Mendoza
2025-01-25 14:44:35,Australia,Mount Isa
2017-04-21 06:34:45,Mexico,Ciudad Valles
2018-03-15 05:43:28,United States,Eagle River
2020-10-07 05:48:29,India,New Delhi
2025-02-09 00:36:38,Brazil,Alegre
2023-07-19 21:04:45,United States,Longview
2023-10-25 10:11:17,Brazil,Matinhos
2023-01-20 15:09:04,Brazil,Igrejinha
2016-01-02 05:20:08,France,Calais
2015-11-21 20:23:16,United States,Green
2022-01-26 09:28:40,United Kingdom,Darton
2019-10-26 08:34:51,United States,Douglas
2021-11-26 08:10:52,United States,Galveston
2017-04-02 16:36:33,Brazil,Mucuri
2020-11-27 09:27:35,India,Jamjodhpur
2016-03-05 14:03:57,Japan,Unzen
2018-05-06 17:10:40,United Kingdom,New Mills
2016-09-24 17:22:36,Italy,Chinatown
2021-06-17 03:38:02,United States,Sanford
2018-12-19 07:56:58,Canada,St. Catharines
2022-03-05 13:37:49,United States,Yucaipa
2017-01-03 04:03:04,United States,Lisle
2024-11-09 09:50:03,Italy,Galliate
2022-10-06 20:58:36,United States,Charleston
2024-11-28 13:44:44,India,Sonepur
2016-03-26 16:55:51,Spain,Arrasate / Mondragón
2016-03-19 14:09:31,India,Badi
2024-05-21 18:08:46,United States,Wausau
2017-03-14 22:06:38,India,Gorakhpur
2024-10-13 18:26:29,Brazil,Água Rasa
2022-08-09 23:43:08,India,Padampur
2025-01-28 10:51:43,India,Bhiloda
2016-05-19 14:49:17,India,Maduravoyal
